0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:40 +0900] "GET /images/main_images/product-list-img2.jpg HTTP/1.1" 200 108683
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/main_images/product-list-img3.jpg HTTP/1.1" 200 68790
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/main_images/product-list-img4.jpg HTTP/1.1" 200 55918
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/main_images/product-list-img5.jpg HTTP/1.1" 200 52649
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/f-logo.png HTTP/1.1" 200 15616
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-instagram.png HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-facebook.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-youtube.png HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-arrow-down-blue.png HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-review-arrow-prev.png HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /images/icon-review-arrow-next.png HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /source/fonts/NotoSans-Regular.woff HTTP/1.1" 200 235984
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /source/fonts/NotoSans-Bold.woff HTTP/1.1" 200 238600
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /index.jsp HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /style/style_main.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /style/style_Common.css HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /style/style1.css HTTP/1.1" 200 33015
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /style/style2.css HTTP/1.1" 200 13356
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /source/jquery-3.6.0.min.js HTTP/1.1" 200 89503
